Rank,Name,Designation,Institution,City,Country,H-Index,Citations,Q1 Papers,Top Conf Papers,Research Overlap /30,Publication Quality /35,Collab Fit /15,Location /20,Total Score /100,Top Relevant Papers,OpenAlex Profile
17,Artan Sheshmani,Full Professor,,,,8,244,12,0,1,23,8,5,37,"Donaldson–Thomas invariants of 2-dimensional sheaves inside  (Advances in Mathematics, 2017, 16 cites) | Non-Holomorphic Cycles and Non-BPS Black Branes (Communications in Mathematical, 2022, 15 cites) | Counting curves on surfaces in Calabi–Yau 3-folds (Mathematische Annalen, 2014, 11 cites)",https://openalex.org/A5049918322
18,Danni Peng,Full Professor,,,,20,2764,3,3,1,22,8,5,36,"Extremal Problems for Graphical Function-Indices and f-Weigh (Discrete Mathematics Letters, 2022, 24 cites) | Separating path systems for cubic graphs and for complete bi (Discrete Mathematics, 2026, 0 cites) | More on rainbow cliques in edge-colored graphs (European Journal of Combinator, 2024, 0 cites)",https://openalex.org/A5072488414
19,Anna Duwenig,Assistant Professor,,,,4,38,4,0,1,12,15,5,33,"Transversals, duality, and irrational rotation (Transactions of the American M, 2020, 4 cites) | Analyzing the Weyl Construction for Dynamical Cartan Subalge (International Mathematics Rese, 2021, 4 cites) | Non-traditional Cartan Subalgebras in Twisted Groupoid <i>C< (International Mathematics Rese, 2025, 1 cites)",https://openalex.org/A5074452284
20,Alexandra Olaya-Castro,Full Professor,,,,21,4400,2,0,5,14,8,5,32,"Transient synchronisation and quantum coherence in a bio-ins (Faraday Discussions, 2019, 27 cites) | Equivalence of dynamics of disordered quantum ensembles and  (Journal of Physics A Mathemati, 2026, 0 cites) | Equivalence of dynamics of disordered quantum ensembles and  (Journal of Physics A Mathemati, 2026, 0 cites)",https://openalex.org/A5076241774
21,Ansgar Freyer,Assistant Professor,,,,2,8,4,0,1,10,15,5,31,"Lattice reduced and complete convex bodies (Journal of the London Mathemat, 2024, 1 cites) | The affine subspace concentration inequality for centered co (Acta Mathematica Academiae Sci, 2025, 0 cites) | Exponential valuations on lattice polygons valued at formal  (Advances in Mathematics, 2026, 0 cites)",https://openalex.org/A5066076278
22,Arthur Christianen,Associate Professor,,,,12,518,0,0,3,10,12,5,30,"Polaronic hybridization of atoms, dimers and trimers in a Bo (arXiv (Cornell University), 2026, 0 cites) | Polaronic hybridization of atoms, dimers and trimers in a Bo (ArXiv.org, 2026, 0 cites)",https://openalex.org/A5088897869
23,Ben S. Southworth,Associate Professor,,,,13,509,1,0,1,12,12,5,30,"Galerkin formulation of path integrals in lattice field theo (Journal of Physics A Mathemati, 2025, 1 cites)",https://openalex.org/A5013739420
24,Carlos Guillén-Galván,Associate Professor,,,,3,16,2,2,2,11,12,5,30,"Log-concavity of some independence polynomials via a partial (Discrete Mathematics, 2018, 5 cites) | Corrigendum to “Log-concavity of some independence polynomia (Discrete Mathematics, 2023, 0 cites)",https://openalex.org/A5031437920
25,Carsten Robens,Associate Professor,,,,11,572,0,0,3,10,12,5,30,"Polaronic hybridization of atoms, dimers and trimers in a Bo (arXiv (Cornell University), 2026, 0 cites) | Polaronic hybridization of atoms, dimers and trimers in a Bo (ArXiv.org, 2026, 0 cites)",https://openalex.org/A5064097085
26,César Bautista-Ramos,Full Professor,,,,4,106,2,2,5,12,8,5,30,"Log-concavity of some independence polynomials via a partial (Discrete Mathematics, 2018, 5 cites) | MÖBIUS TRANSFORMATIONS IN QUANTUM AMPLITUDE AMPLIFICATION WI (International Journal of Quant, 2010, 1 cites) | Corrigendum to “Log-concavity of some independence polynomia (Discrete Mathematics, 2023, 0 cites)",https://openalex.org/A5077053005
27,András Mészáros,Full Professor,,,,17,1054,2,0,2,14,8,5,29,"The local weak limit of 𝑘-dimensional hypertrees (Transactions of the American M, 2022, 3 cites) | Eigenvectors of the Square Grid Plus GUE (Communications in Mathematical, 2024, 0 cites)",https://openalex.org/A5032915188
28,Adrian K. Turner,Full Professor,,,,36,5116,2,0,0,14,8,5,27,"A long, hard look at MCG–6-30-15 with XMM-Newton (Nuclear Physics B - Proceeding, 2004, 21 cites) | A softer look at MCG–6-30-15 with XMM-Newton (Nuclear Physics B - Proceeding, 2004, 0 cites)",https://openalex.org/A5080983012
29,Cai‐Zhuang Wang,Full Professor,,,,59,12865,0,0,4,10,8,5,27,"Ad-Dimer Diffusion between Trough and Dimer Row on Si(100) (Physical Review Letters, 1998, 35 cites)",https://openalex.org/A5081762465
30,Ahmed Touhami,Full Professor,,,,24,2681,0,0,3,10,8,5,26,,https://openalex.org/A5081164106
31,Alexander Vidinas,Postdoc / Early Career,,,,1,3,2,0,5,5,11,5,26,"Log-Concavity of the Alexander Polynomial (International Mathematics Rese, 2024, 3 cites) | Dimer face polynomials in knot theory and cluster algebras (Selecta Mathematica, 2026, 0 cites) | A dimer view on Fox's trapezoidal conjecture (ArXiv.org, 2025, 0 cites)",https://openalex.org/A5064061398
32,C. Paulsen,Full Professor,,,,47,8326,0,0,3,10,8,5,26,"Scaling in dimer breaking by impurities in<mml:math xmlns:mm (Physical review. B, Condensed , 1998, 39 cites)",https://openalex.org/A5074553058
33,Carlo A. Pignedoli,Full Professor,,,,50,12212,0,0,3,10,8,5,26,"Collective All‐Carbon Magnetism in Triangulene Dimers** (Angewandte Chemie, 2020, 50 cites)",https://openalex.org/A5083928873
34,Chaoqun Zhang,Full Professor,,,,60,11073,0,0,3,10,8,5,26,"Catalytic dimerization of norbornadiene and norbornene into  (Coordination Chemistry Reviews, 2021, 33 cites)",https://openalex.org/A5100671261
35,Chong Liu,Full Professor,,,,49,14825,0,0,3,10,8,5,26,"Ambient methane functionalization initiated by electrochemic (Nature Communications, 2020, 62 cites)",https://openalex.org/A5100412219
36,Christina Meng,Full Professor,,,,6,364,0,0,7,6,8,5,26,"Asymptotics of the partial $n$-fold dimer model (arXiv (Cornell University), 2024, 0 cites) | Asymptotics of the partial n-fold dimer model (Electronic Communications in P, 2025, 0 cites)",https://openalex.org/A5111625138
37,Annie Qu,Full Professor,,,,33,4122,1,0,0,12,8,5,25,"Deep learning from a statistical perspective (Stat, 2020, 18 cites)",https://openalex.org/A5029794342
38,Apurba Das,Full Professor,,,,27,2936,1,0,0,12,8,5,25,"Extensions and automorphisms of Rota-Baxter groups (Journal of Algebra, 2023, 7 cites)",https://openalex.org/A5010929183
39,Alan J. Hurd,Full Professor,,,,39,6749,0,0,1,10,8,5,24,,https://openalex.org/A5073224783
40,A. F. Kemper,Full Professor,,,,40,5483,0,0,1,10,8,5,24,,https://openalex.org/A5074145871
41,Alfred Hanssen,Full Professor,,,,18,1335,0,0,1,10,8,5,24,,https://openalex.org/A5040898399
42,Bharath Sambasivam,Associate Professor,,,,4,100,1,0,1,6,12,5,24,"Smallest eigenvalue density for regular or fixed-trace compl (Journal of Physics A Mathemati, 2017, 19 cites)",https://openalex.org/A5031410276
43,Chunlin Li,Full Professor,,,,33,3093,0,0,1,10,8,5,24,,https://openalex.org/A5106710540
44,Andreas Wüstefeld,Full Professor,,,,8,959,1,0,0,10,8,5,23,"Toward Offshore Microseismic Data Source Mechanism Determina (Proceedings, 2017, 1 cites)",https://openalex.org/A5111944913
45,Andrew Claussen,Assistant Professor,,,,1,7,0,0,2,1,15,5,23,,https://openalex.org/A5076797199
46,Daniel Bultrini,Associate Professor,,,,4,68,0,0,1,4,12,5,22,,https://openalex.org/A5007033719
47,Atandrita Bhattacharyya,Postdoc / Early Career,,,,2,13,0,0,3,2,11,5,21,"Persistent singlet electronic character in the multiexcitoni (arXiv (Cornell University), 2026, 0 cites) | Persistent singlet electronic character in the multiexcitoni (arXiv (Cornell University), 2026, 0 cites)",https://openalex.org/A5027507527
48,B. M. Rodriguez-Lara,Postdoc / Early Career,,,,0,0,0,0,3,0,11,5,19,"Grid-state deformation in a no-jump non-Hermitian bosonic di (arXiv (Cornell University), 2026, 0 cites)",https://openalex.org/A5138734834
49,Anthony J Guttmann,Postdoc / Early Career,,,,0,0,0,0,1,0,11,5,17,,https://openalex.org/A5135924220
50,Brendan B. Connelly,Postdoc / Early Career,,,,0,0,0,0,1,0,11,5,17,,https://openalex.org/A5128159451
